"Zone" "Ward" "Area" "Location" "Street" "Cases" "importDate"
1 13 "null" "SATHANGADU" "UDAYASURIYAN STREET ANNA NAGAR" 1 "2021-05-03"
1 13 "TIRUVOTTRIYUR" "SATHANGADU" "UDAIYASURIYAN 1ST STREET" 1 "2021-05-03"
2 15 "EDYANCHAVADI" "MANALI NEW TOWN" "BLOCK-18" 1 "2021-05-03"
2 16 "SADAIYANKUPPAM" "ELANDANUR" "ELANDANUR PERUMAL KOIL STREET" 1 "2021-05-03"
2 16 "KADAPAKKAM" "RAJIV GANDHI NAGAR" "RAJIVGANDHI NAGAR 1ST STREET" 1 "2021-05-03"
2 16 "SADAIYANKUPPAM" "MANALI NEW TOWN" "TNHB PHASE 1 BLOCK 4 16 FEET ROAD 1ST LANE" 1 "2021-05-03"
2 17 "VADAPERUMBAKKAM" "VADAPERUMBAKKAM" "V.S.MANI NAGAR" 2 "2021-05-03"
2 18 "MANALI" "AMBEDKAR PLAY GROUND" "ZAHIR HUSSAIN 2ND STREET" 1 "2021-05-03"
2 18 "MANALI" "KALAIGNAR NAGAR" "A.F GARDAN" 1 "2021-05-03"
2 18 "MANALI" "ANBALAGAN STREET" "ANBALAGAN STREET 1ST LANE" 1 "2021-05-03"
2 19 "MATHUR" "MMDA" "MMDA 1ST MAIN ROAD CROSS STREET" 1 "2021-05-03"
2 19 "MATHUR" "MMDA" "MMDA 3RD MAIN ROAD" 1 "2021-05-03"
2 19 "MATHUR" "MMDA" "MMDA 13TH STREET" 1 "2021-05-03"
2 19 "MATHUR" "PERIYAMATHUR" "KAMARAJAR SALAI" 1 "2021-05-03"
2 19 "MATHUR" "MMDA" "MMDA 69TH STREET" 1 "2021-05-03"
2 19 "MATHUR" "MMDA" "MMDA 16TH STREET" 1 "2021-05-03"
2 19 "MATHUR" "PERIYAMATHUR" "PONNIAMMAN KOIL STREET" 1 "2021-05-03"
2 19 "MATHUR" "MMDA" "MMDA 109TH STREET" 1 "2021-05-03"
2 19 "MATHUR" "MMDA" "MMDA 4TH MAIN ROAD CROSS STREET" 1 "2021-05-03"
2 20 "MANALI" "EB OFFICE" "CHINNAMATHUR ROAD" 1 "2021-05-03"
2 20 "MANALI" "EB OFFICE" "CHINNAKANNU STREET" 1 "2021-05-03"
2 21 "MANALI" "THIRUVALLUVAR THIRUMANA MANDAPAM" "SANNATHI STRAIGHT STREET" 1 "2021-05-03"
3 22 "PUZHAL" "Near Panchayat Office" "Gandhi Main Street" 2 "2021-05-03"
3 22 "PUZHAL" "Balaji Nagar" "Macro Marble 2nd Main Road Balaji Nagar" 2 "2021-05-03"
3 22 "KAVANKARAI" "KAVANKARAI EAST" "Shanthini Avenue" 1 "2021-05-03"
3 22 "KAVANKARAI" "Kannadapalayam" "Jeeva 2nd Street" 1 "2021-05-03"
3 22 "KAVANKARAI" "Thiruneelagandar Nagar" "Thiruneelagandar Nagar 3rd Part" 1 "2021-05-03"
3 22 "PUZHAL" "Near JAIN TEMPLE" "Sivaraj 2nd  Street" 1 "2021-05-03"
3 23 "PUZHAL" "Lakshmiamman Koil" "Lakshmiamman Koil Main  Street" 1 "2021-05-03"
3 24 "Soorapattu" "Soorapattu  North" "Soorapattu Main Road" 2 "2021-05-03"
3 24 "Puthagaram" "Near Godson School" "THIRUMAL NAGAR 1ST MAIN ROAD" 2 "2021-05-03"
3 24 "Puthagaram" "Near Union School" "Ramalinga Nagar Extension" 2 "2021-05-03"
3 24 "Soorapattu" "Sivaprakasam Nagar" "SIVA PRAKASAM NAGAR KALAYANA MANDAPAM" 1 "2021-05-03"
3 24 "Puthagaram" "Near Godson School" "VIJAYALAKSHMI NAGAR 6TH STREET" 1 "2021-05-03"
3 24 "Soorapattu" "Murugambedu" "Vijaya Avenue" 1 "2021-05-03"
3 24 "Puthagaram" "Near Export Office" "SRI VENKATESHWARA NAGAR 1ST STREET" 1 "2021-05-03"
3 24 "Puthagaram" "Near Godson School" "VELMURUGAN 3RD STREET" 1 "2021-05-03"
3 24 "Soorapattu" "Near Division Office" "THULUGANATHAMMAN KOIL 5TH STREET" 1 "2021-05-03"
3 24 "Puthagaram" "Near Union School" "MADHAVAN NAGAR 2ND STREET" 1 "2021-05-03"
3 24 "Puthagaram" "Near Union School" "Ramalinga Nagar" 1 "2021-05-03"
3 24 "Puthagaram" "Near Gas Godown" "KAMARAJ RAJ NAGAR  3RD STREET" 1 "2021-05-03"
3 24 "Soorapattu" "Soorapattu West" "SCHOOL STREET" 1 "2021-05-03"
3 24 "Puthagaram" "Near Export Office" "JANAKI RAMAN NAGAR SANTHOSH NAGAR" 1 "2021-05-03"
3 24 "Puthagaram" "Near Godson School" "THIRUMAL NAGAR 15TH STREET" 1 "2021-05-03"
3 25 "KATHIRVEDU" "Mahalakshmi Nagar" "MAIN STREET" 2 "2021-05-03"
3 25 "KATHIRVEDU" "KVR Nagar" "2ND STREET" 1 "2021-05-03"
3 25 "KATHIRVEDU" "KATHIRVEDU SOUTH WEST" "Britania nagar" 1 "2021-05-03"
3 25 "MADURA METU PALAYAM -MADHAVARAM" "MGR Nagar" "MGR  Nagar 4th st" 1 "2021-05-03"
3 25 "KATHIRVEDU" "KATHIRVEDU SOUTH" "Selliamman Koil Street" 1 "2021-05-03"
3 26 "MADHAVARAM" "THATTANKULAM ROAD" "SEETHAPATHY ST" 2 "2021-05-03"
3 26 "VINAYAGAPURAM - MADHAVARAM" "PRH ROAD" "KALPALAYAM" 1 "2021-05-03"
3 26 "MADHAVARAM" "M.R.H. Road" "SARANGAPANI NAGAR 1ST ST" 1 "2021-05-03"
3 26 "MADHAVARAM" "MRH ROAD" "KILBURN  NAGAR" 1 "2021-05-03"
3 26 "PONNIAMMANMEDU-MADHAVARAM" "THIRUMALAI NAGAR" "Thirumalai Ngr 2nd Main Road" 1 "2021-05-03"
3 26 "MADHAVARAM" "MRH ROAD" "SRINIVASA NAGAR" 1 "2021-05-03"
3 26 "MADHAVARAM" "MRH ROAD" "SRINIVASA NAGAR 1ST ST" 1 "2021-05-03"
3 26 "PONNIAMMANMEDU-MADHAVARAM" "THIRUMALAI NAGAR" "Thirumalai Ngr 4th Main Road" 1 "2021-05-03"
3 26 "PONNIAMMANMEDU-MADHAVARAM" "200 FEET ROAD" "DEVI  NAGAR" 1 "2021-05-03"
3 27 "MADHAVARAM" "MANDAIVELI" "Nehru 1st Cross St" 2 "2021-05-03"
3 27 "MADHAVARAM MILK COLONY" "KAMBAN NAGAR" "KAMBAN NAGAR KURINJI ST" 2 "2021-05-03"
3 27 "MADHAVARAM" "MANDAIVELI" "LALITHA  GARDEN" 1 "2021-05-03"
3 27 "MADHAVARAM MILK COLONY" "KAMBAN NAGAR" "RAMANA AVENUE" 1 "2021-05-03"
3 27 "MADHAVARAM" "MANDAIVELI" "PERUMAL KOIL 1ST STREET" 1 "2021-05-03"
3 28 "MADHAVARAM MILK COLONY" "ARUL NAGAR" "10 th street VENKATESWARA COLONY" 2 "2021-05-03"
3 28 "MADHAVARAM MILK COLONY" "BANK COLONY" "BANK COLONY 4TH STREET" 2 "2021-05-03"
3 28 "MADHAVARAM" "K K Thazhai" "MURUGAPPAN STREET KUMARAN STREET" 2 "2021-05-03"
3 28 "MADHAVARAM" "Periyasekadu" "KULLA GOVINDAN 1ST STREET" 1 "2021-05-03"
3 28 "MADHAVARAM" "K K Thazhai" "KUMARAN STREET MAIN" 1 "2021-05-03"
3 28 "MADHAVARAM MILK COLONY" "ARUL NAGAR" "JOHN VASU ST EXTN" 1 "2021-05-03"
3 28 "MADHAVARAM" "Moolachathiram" "PACHAIAPPAN NAICKEN THOTTAM 1ST STREET" 1 "2021-05-03"
3 28 "MADHAVARAM" "Moolachathiram" "PACHAIAPPAN NAICKEN THOTTAM 6TH STREET" 1 "2021-05-03"
3 28 "MADHAVARAM" "Moolachathiram" "N P NAGAR 1ST CROSS STREET" 1 "2021-05-03"
3 29 "Chinnasekkadu" "Chinnasekkadu North" "Chinnakannu Street" 1 "2021-05-03"
3 29 "Chinnasekkadu" "Chinnasekkadu North" "Raji Street" 1 "2021-05-03"
3 29 "Chinnasekkadu" "Balji Palayam" "Apparaj Street" 1 "2021-05-03"
3 30 "MADHAVARAM" "MADHAVARAM POST OFFICE ROAD" "RAJAJI ST" 2 "2021-05-03"
3 30 "MADHAVARAM" "RING ROAD" "RING ROAD HOUSING SECTOR" 2 "2021-05-03"
3 30 "MADHAVARAM" "RING ROAD HOUSING SECTOR" "ST. JOSEPH GARDEN" 2 "2021-05-03"
3 30 "MADHAVARAM MILK COLONY" "ALEX NAGAR B COLONY" "KAMARAJAR STREET" 1 "2021-05-03"
3 30 "MADHAVARAM" "MRH ROAD" "VICTORY FIELD" 1 "2021-05-03"
3 30 "MADHAVARAM" "MILK  COLONY" "MILK COLONY MAIN ROAD" 1 "2021-05-03"
3 30 "MADHAVARAM" "MRH ROAD" "BHAGAVAT SINGH ST" 1 "2021-05-03"
3 30 "MADHAVARAM" "MADHAVARAM MARKET" "MARIAMMAN KOIL ST" 1 "2021-05-03"
3 30 "MADHAVARAM" "ALEX NAGAR B COLONY" "PADMAVATHY NAGAR 1ST MAIN ROAD" 1 "2021-05-03"
3 31 "MADHAVARAM" "MRH ROAD" "SATHYARAJ NAGAR" 1 "2021-05-03"
3 32 "LAKSHMIPURAM - MADHAVARAM" "KADAPPAH  ROAD" "ANNAIPARASAKTHI NAGAR, LAKSHMIPURAM" 1 "2021-05-03"
3 32 "LAKSHMIPURAM - MADHAVARAM" "Lakshmipuram" "VILLIWAKKAM ROAD" 1 "2021-05-03"
3 32 "LAKSHMIPURAM - MADHAVARAM" "KADAPPAH  ROAD" "DAULAT AVENUE, LAKSHMIPURAM" 1 "2021-05-03"
3 32 "LAKSHMIPURAM - MADHAVARAM" "TEACHERS COLONY" "TEACHERS COLONY3RD LAYOUT, LAKSHMIPURAM" 1 "2021-05-03"
3 33 "PONNIAMMANMEDU-MADHAVARAM" "MUNUSAMY  NAGAR" "Munusamy Nagar 4th st" 2 "2021-05-03"
3 33 "PONNIAMMANMEDU-MADHAVARAM" "THANIKACHALAM NAGAR B BLOCK" "THANIKACHALAM NAGAR B BLK 6TH MAIN ROAD" 1 "2021-05-03"
3 33 "PONNIAMMANMEDU-MADHAVARAM" "RAMALINGA COLONY B BLK" "RAMALINGACOLONY B BLK,PONNIAMMANMEDU" 1 "2021-05-03"
3 33 "PONNIAMMANMEDU-MADHAVARAM" "PONNIAMMANMEDU" "Gandhi Nagar" 1 "2021-05-03"
3 33 "PONNIAMMANMEDU-MADHAVARAM" "PONNIAMMANMEDU" "VALLIAMMAI NAGAR,PONNIAMMANMEDU" 1 "2021-05-03"
3 33 "PONNIAMMANMEDU-MADHAVARAM" "THANIKACHALAM NAGAR A BLOCK" "THANIKACHALAM NAGAR A BLK 3RD MAIN ROAD" 1 "2021-05-03"
3 33 "PONNIAMMANMEDU-MADHAVARAM" "PRAKASH NAGAR" "PRAKASH NAGAR 10TH ST,PONNIAMMANMEDU" 1 "2021-05-03"
3 33 "PONNIAMMANMEDU-MADHAVARAM" "SRI RAMAN SALAI" "SHANTHI  COLONY, PONNIAMMANMEDU" 1 "2021-05-03"
3 33 "PONNIAMMANMEDU-MADHAVARAM" "PRAKASH NAGAR" "PRAKASH NAGAR 5TH STREET" 1 "2021-05-03"
3 33 "PONNIAMMANMEDU-MADHAVARAM" "THANIKACHALAM NAGAR" "THANIKACHALAM NGR 6TH MAIN 2ND CROSS ST" 1 "2021-05-03"
3 33 "PONNIAMMANMEDU-MADHAVARAM" "THANIKACHALAM NAGAR A BLOCK" "THANIKACHALAM NGR A BLOCK I MAIN ROAD" 1 "2021-05-03"
4 35 "Kodungaiyur" "K.K.D.Nagar" "K.K.D. NAGAR 4TH BLOCK 4TH MAIN ROAD" 2 "2021-05-03"
4 35 "Kodungaiyur" "Tamil Harijan Colony" "Dr. Ambedkar 1st Street" 2 "2021-05-03"
4 35 "Kodungaiyur" "Muthamil Nagar" "South Avenue Road" 2 "2021-05-03"
4 35 "Kodungaiyur" "Kamaraj Salai" "Kamaraj Salai 1st Lane" 2 "2021-05-03"
4 35 "Kodungaiyur" "K.K.D.Nagar" "K.K.D.Nagar 2nd Main Road" 2 "2021-05-03"
4 35 "Kodungaiyur" "Abirami Avenue" "Abirami Avenue 9th Street" 1 "2021-05-03"
4 35 "Kodungaiyur" "Muthamil Nagar" "Muthamil Nagar Iii Block 52nd Street" 1 "2021-05-03"
4 35 "Kodungaiyur" "Muthamil Nagar" "Muthamil Nagar Vii Block 180th Street" 1 "2021-05-03"
4 35 "Kodungaiyur" "Muthamil Nagar" "Muthamil Nagar Vi Block 158th Street" 1 "2021-05-03"
4 35 "Kodungaiyur" "K.K.D.Nagar" "K.K.D.Nagar 1st Block 2nd Main Road 1st Lane" 1 "2021-05-03"
4 35 "Kodungaiyur" "Muthamil Nagar" "Muthamil Nagar Iv  Block 97th Street" 1 "2021-05-03"
4 35 "Kodungaiyur" "Gandhi Nagar" "Gandhi Nagar 1st Street" 1 "2021-05-03"
4 35 "Kodungaiyur" "Chinnandimadam" "Thiruvalluvar Salai" 1 "2021-05-03"
